date,open,high,low,close,volume
2024-06-18,63771.0,64023.5,63090.6,63734.9,221000
2024-06-19,63706.5,64345.2,63106.7,63649.8,216100
2024-06-20,64031.8,64874.3,63665.1,64244.9,168900
2024-06-21,65339.7,65925.4,65178.5,65745.6,229800
2024-06-24,63479.5,64081.8,63415.3,63690.7,195400
2024-06-25,66179.1,66949.6,65992.1,66445.6,276100
2024-06-26,66672.5,66850.7,66121.9,66756.0,270900
2024-06-27,68913.3,70340.8,68489.7,69538.3,260700
2024-06-28,68946.0,69938.6,68707.7,69514.2,192200
2024-07-01,70994.8,71102.8,70262.8,70498.7,247000
2024-07-02,70772.5,71127.4,70468.7,70538.5,281500
2024-07-03,71394.3,72113.0,70986.2,71230.5,356700
2024-07-04,72250.5,72405.3,71493.6,71958.8,248300
2024-07-05,71586.4,72502.3,71505.2,71991.2,235600
2024-07-08,73391.7,73883.9,72493.9,73214.3,137600
2024-07-09,72787.3,73669.6,72294.6,72904.3,88900
2024-07-10,73491.9,73740.7,72806.6,73051.0,223600
2024-07-11,74238.9,74587.5,72732.0,73568.7,156200
2024-07-12,74581.2,75415.5,74076.1,74733.7,130100
2024-07-15,74072.0,74764.5,72868.2,73690.2,91100
2024-07-16,73310.4,74099.9,72862.2,73632.1,104900
2024-07-17,73056.3,73374.5,72686.4,73077.6,201500
2024-07-18,73205.0,73636.9,72542.7,72781.6,352100
2024-07-19,72364.1,72760.3,72290.8,72640.4,254700
2024-07-22,72488.3,72864.4,70919.5,71773.5,251600
2024-07-23,72617.6,73127.2,72439.6,72487.0,229000
2024-07-24,72385.7,73549.1,71700.6,72936.2,254400
2024-07-25,72197.6,72765.0,71040.0,71832.4,261000
2024-07-26,73240.7,73695.4,72648.2,73013.3,119300
2024-07-29,72089.1,72749.3,71439.7,71937.2,225000
2024-07-30,70485.9,71248.2,70339.9,70660.8,313600
2024-07-31,70542.5,71234.9,70006.7,71137.0,171900
2024-08-01,71644.5,72113.6,70667.8,71099.3,111500
2024-08-02,70805.9,71591.7,70657.3,70830.6,236000
2024-08-05,69768.7,69799.4,69418.3,69715.8,302700
2024-08-06,71494.3,72013.7,70167.6,70949.4,246300
2024-08-07,69188.7,70072.0,68621.1,69600.0,353600
2024-08-08,70584.1,71351.7,69796.4,70506.1,123700
2024-08-09,70700.4,71085.9,70047.9,70757.3,99800
2024-08-12,69702.0,70046.2,68388.3,69060.0,243200
2024-08-13,69911.0,70659.8,69229.4,69880.3,323400
2024-08-14,70048.7,70904.5,69984.7,70576.3,148500
2024-08-15,73004.4,73582.6,72797.3,73029.4,201400
2024-08-16,75367.7,75567.2,74309.2,74805.7,183000
2024-08-19,75250.2,75445.7,74445.8,74852.9,153000
2024-08-20,76464.9,76705.2,75243.7,75946.7,102100
2024-08-21,74382.4,75593.1,74363.8,74744.7,159200
2024-08-22,76818.2,77042.5,75898.9,76539.7,199100
2024-08-23,75741.2,76562.7,74913.5,76352.1,120400
2024-08-26,76006.4,76757.3,74909.6,75429.5,83100
2024-08-27,76478.9,77676.6,76454.3,77063.4,93500
2024-08-28,78587.5,78771.4,77826.9,77868.9,80900
2024-08-29,79252.8,79652.2,77714.9,78502.1,221000
2024-08-30,79005.2,79552.0,78411.4,79178.4,80800
2024-09-02,80783.2,80967.2,80113.1,80901.9,148700
2024-09-03,82010.1,82734.1,81887.4,81953.4,362200
2024-09-04,82867.5,83258.9,81769.0,82603.8,306700
2024-09-05,82884.0,83615.9,81875.1,82508.0,351600
2024-09-06,83315.7,84074.4,81711.6,82592.7,85900
2024-09-09,83220.6,83624.6,82540.5,83587.6,164600
2024-09-10,83386.1,83760.8,83045.1,83694.2,110700
2024-09-11,86498.0,87024.5,85564.2,86574.2,185300
2024-09-12,85813.0,85954.2,85174.6,85454.9,318800
2024-09-13,87194.5,87805.3,86169.5,86790.6,283300
2024-09-16,89441.6,90090.7,88452.6,89083.7,358600
2024-09-17,90955.0,91893.3,89802.5,90670.1,214900
2024-09-18,90670.1,91576.1,89474.4,90236.3,99200
2024-09-19,90591.7,90928.8,90387.1,90667.7,130100
2024-09-20,92397.5,92913.4,92103.0,92867.4,291500
2024-09-23,91295.5,91493.0,90445.7,90547.4,135300
2024-09-24,88887.0,89112.1,88345.2,88442.5,323200
2024-09-25,86900.8,87720.5,86207.8,87388.0,304200
2024-09-26,84556.6,85149.0,83904.2,84843.5,355700
2024-09-27,83700.1,84707.2,83263.6,84485.0,239000
2024-09-30,83542.4,83877.9,83086.3,83722.2,148200
2024-10-01,85617.9,87315.9,84887.9,86463.8,121800
2024-10-02,85738.4,86107.3,85591.7,85595.5,305800
2024-10-03,85982.0,86546.3,85603.9,86184.4,173300
2024-10-04,85079.7,86071.5,83968.9,84975.9,262700
2024-10-07,86675.2,86855.9,86032.0,86135.4,231900
2024-10-08,86204.3,87039.7,85303.1,86603.4,87600
2024-10-09,85466.9,86398.3,85338.8,85564.2,141800
2024-10-10,82389.3,83055.4,81686.6,83049.7,229400
2024-10-11,81707.5,81920.3,81105.5,81373.1,97300
2024-10-14,82157.7,83142.6,81273.7,81831.7,208100
2024-10-15,81627.1,81985.6,81539.8,81754.4,150200
2024-10-16,81174.2,82466.4,81022.6,81915.8,146100
2024-10-17,79523.2,80255.8,78487.9,79118.8,174000
2024-10-18,78012.9,78175.9,77156.3,77241.9,183300
2024-10-21,76175.9,77069.1,76112.8,76283.8,264800
2024-10-22,76338.8,76511.6,75523.7,76444.8,240100
2024-10-23,76095.4,76251.1,75921.2,76137.6,225000
2024-10-24,73764.8,73784.9,73328.6,73586.3,118100
2024-10-25,72537.6,73373.9,71931.0,73217.0,329500
2024-10-28,75041.0,75459.5,74407.6,74861.1,98100
2024-10-29,76423.4,77143.5,75208.3,75702.2,79400
2024-10-30,75604.7,76370.9,74744.7,76348.6,328400
2024-10-31,76900.9,76920.4,76572.7,76686.2,236900
2024-11-01,78742.9,79209.0,78537.6,78798.9,338800
